[2026-07-13T09:19:37+08:00] Starting LongCat completions
Resuming: found 505 existing generations in /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/raw_generations/longcat_2_0_gold_reminder_full.jsonl
Skipping 505 already-generated (task, condition, strategy, sample_id) combos
Progress: 50 generated, 0 failed, tokens(p/c)=37585/38448, est_cost=$0.1416
Progress: 100 generated, 0 failed, tokens(p/c)=73085/72499, est_cost=$0.2687
Progress: 150 generated, 0 failed, tokens(p/c)=97203/88724, est_cost=$0.3346
Progress: 200 generated, 0 failed, tokens(p/c)=127289/111323, est_cost=$0.4239
Progress: 250 generated, 0 failed, tokens(p/c)=158879/132764, est_cost=$0.5108
Progress: 300 generated, 0 failed, tokens(p/c)=190285/156334, est_cost=$0.6039
Progress: 350 generated, 0 failed, tokens(p/c)=224124/185019, est_cost=$0.7139
Wrote 395 generations to /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/raw_generations/longcat_2_0_gold_reminder_full.jsonl; logged 0 failures to /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/errors/longcat_2_0_gold_reminder_full_errors.jsonl; est_cost=$0.8041
Resuming: found 850 existing generations in /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/raw_generations/longcat_2_0_distractor_reminder_full.jsonl
Skipping 850 already-generated (task, condition, strategy, sample_id) combos
Progress: 50 generated, 0 failed, tokens(p/c)=17933/15579, est_cost=$0.0594
Wrote 50 generations to /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/raw_generations/longcat_2_0_distractor_reminder_full.jsonl; logged 0 failures to /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/errors/longcat_2_0_distractor_reminder_full_errors.jsonl; est_cost=$0.0594
Resuming: found 443 existing generations in /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/raw_generations/p0_longcat_2_0_cot.jsonl
Skipping 443 already-generated (task, condition, strategy, sample_id) combos
Progress: 50 generated, 0 failed, tokens(p/c)=19065/10231, est_cost=$0.0445
Progress: 100 generated, 0 failed, tokens(p/c)=40733/27772, est_cost=$0.1125
Progress: 150 generated, 0 failed, tokens(p/c)=58545/36324, est_cost=$0.1511
Progress: 200 generated, 0 failed, tokens(p/c)=80270/43734, est_cost=$0.1892
Progress: 250 generated, 0 failed, tokens(p/c)=102375/62047, est_cost=$0.2598
Progress: 300 generated, 0 failed, tokens(p/c)=123834/77940, est_cost=$0.3228
Progress: 350 generated, 0 failed, tokens(p/c)=150908/102744, est_cost=$0.4163
Progress: 400 generated, 0 failed, tokens(p/c)=175476/121198, est_cost=$0.4891
Progress: 450 generated, 0 failed, tokens(p/c)=201227/145386, est_cost=$0.5798
Progress: 500 generated, 0 failed, tokens(p/c)=221470/157153, est_cost=$0.6297
Progress: 550 generated, 0 failed, tokens(p/c)=242317/168334, est_cost=$0.6783
Progress: 600 generated, 0 failed, tokens(p/c)=263823/179658, est_cost=$0.7279
Progress: 650 generated, 0 failed, tokens(p/c)=286464/190736, est_cost=$0.7775
Progress: 700 generated, 0 failed, tokens(p/c)=309024/205676, est_cost=$0.8385
Progress: 750 generated, 0 failed, tokens(p/c)=330833/218917, est_cost=$0.8939
Progress: 800 generated, 0 failed, tokens(p/c)=354989/237287, est_cost=$0.9662
Progress: 850 generated, 0 failed, tokens(p/c)=379515/256222, est_cost=$1.0405
Progress: 900 generated, 0 failed, tokens(p/c)=403120/273358, est_cost=$1.1087
Wrote 907 generations to /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/raw_generations/p0_longcat_2_0_cot.jsonl; logged 0 failures to /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/errors/p0_longcat_2_0_cot_errors.jsonl; est_cost=$1.1204
Resuming: found 789 existing generations in /root/rivermind-data/lost+found/CCF-B/02-实验代码/retrieval-vs-reasoning/v2/outputs/raw_generations/p1_longcat_2_0_n3.jsonl
Skipping 789 already-generated (task, condition, strategy, sample_id) combos
Progress: 50 generated, 0 failed, tokens(p/c)=32065/22543, est_cost=$0.0906
Progress: 100 generated, 0 failed, tokens(p/c)=63988/45509, est_cost=$0.1822
Progress: 150 generated, 0 failed, tokens(p/c)=95315/67831, est_cost=$0.2716
Progress: 200 generated, 0 failed, tokens(p/c)=127384/85376, est_cost=$0.3474
Progress: 250 generated, 0 failed, tokens(p/c)=158245/100030, est_cost=$0.4138
Progress: 300 generated, 0 failed, tokens(p/c)=185993/117219, est_cost=$0.4853
Progress: 350 generated, 0 failed, tokens(p/c)=213852/135060, est_cost=$0.5588
Progress: 400 generated, 0 failed, tokens(p/c)=243064/149626, est_cost=$0.6237
Progress: 450 generated, 0 failed, tokens(p/c)=275312/180054, est_cost=$0.7376
Progress: 500 generated, 0 failed, tokens(p/c)=307028/206273, est_cost=$0.8388
Progress: 550 generated, 0 failed, tokens(p/c)=338127/230987, est_cost=$0.9350
Progress: 600 generated, 0 failed, tokens(p/c)=372863/260955, est_cost=$1.0495
Progress: 650 generated, 0 failed, tokens(p/c)=405082/291843, est_cost=$1.1647
Progress: 700 generated, 0 failed, tokens(p/c)=433022/319178, est_cost=$1.2663
Progress: 750 generated, 0 failed, tokens(p/c)=464172/345089, est_cost=$1.3661
Progress: 800 generated, 0 failed, tokens(p/c)=492646/371688, est_cost=$1.4660
Progress: 850 generated, 0 failed, tokens(p/c)=520072/392185, est_cost=$1.5470
Progress: 900 generated, 0 failed, tokens(p/c)=545387/404667, est_cost=$1.6028
Progress: 950 generated, 0 failed, tokens(p/c)=573596/431852, est_cost=$1.7042
Progress: 1000 generated, 0 failed, tokens(p/c)=606488/460953, est_cost=$1.8147
Progress: 1050 generated, 0 failed, tokens(p/c)=627158/473484, est_cost=$1.8671
Progress: 1100 generated, 0 failed, tokens(p/c)=643145/478096, est_cost=$1.8927
Progress: 1150 generated, 0 failed, tokens(p/c)=659164/482746, est_cost=$1.9185
Progress: 1200 generated, 0 failed, tokens(p/c)=676715/489549, est_cost=$1.9517
Progress: 1250 generated, 0 failed, tokens(p/c)=698273/524003, est_cost=$2.0695
Progress: 1300 generated, 0 failed, tokens(p/c)=728227/545945, est_cost=$2.1567
Progress: 1350 generated, 0 failed, tokens(p/c)=750476/556906, est_cost=$2.2057
Progress: 1400 generated, 0 failed, tokens(p/c)=769211/568775, est_cost=$2.2548
Progress: 1450 generated, 0 failed, tokens(p/c)=785423/573192, est_cost=$2.2800
Progress: 1500 generated, 0 failed, tokens(p/c)=801122/576334, est_cost=$2.3010
Progress: 1550 generated, 0 failed, tokens(p/c)=820792/584194, est_cost=$2.3390
Progress: 1600 generated, 0 failed, tokens(p/c)=845689/602383, est_cost=$2.4113
Progress: 1650 generated, 0 failed, tokens(p/c)=862130/608039, est_cost=$2.4403
Progress: 1700 generated, 0 failed, tokens(p/c)=881325/615294, est_cost=$2.4761
Progress: 1750 generated, 0 failed, tokens(p/c)=904097/627718, est_cost=$2.5298
Progress: 1800 generated, 0 failed, tokens(p/c)=932586/649113, est_cost=$2.6143
Progress: 1850 generated, 0 failed, tokens(p/c)=961314/671510, est_cost=$2.7019
Progress: 1900 generated, 0 failed, tokens(p/c)=981822/684829, est_cost=$2.7566
Progress: 1950 generated, 0 failed, tokens(p/c)=1004195/701399, est_cost=$2.8223
Progress: 2000 generated, 0 failed, tokens(p/c)=1029584/717817, est_cost=$2.8897
Progress: 2050 generated, 0 failed, tokens(p/c)=1051480/731925, est_cost=$2.9478
Progress: 2100 generated, 0 failed, tokens(p/c)=1072529/741836, est_cost=$2.9928
Progress: 2150 generated, 0 failed, tokens(p/c)=1101688/761475, est_cost=$3.0726
Progress: 2200 generated, 0 failed, tokens(p/c)=1119460/769400, est_cost=$3.1093
Progress: 2250 generated, 0 failed, tokens(p/c)=1146041/788052, est_cost=$3.1843
Progress: 2300 generated, 0 failed, tokens(p/c)=1176477/814305, est_cost=$3.2846
Progress: 2350 generated, 0 failed, tokens(p/c)=1207690/843274, est_cost=$3.3934
Progress: 2400 generated, 0 failed, tokens(p/c)=1240783/876994, est_cost=$3.5177
Progress: 2450 generated, 0 failed, tokens(p/c)=1263522/892447, est_cost=$3.5804
Progress: 2500 generated, 0 failed, tokens(p/c)=1293969/919121, est_cost=$3.6819
Progress: 2550 generated, 0 failed, tokens(p/c)=1320003/936726, est_cost=$3.7533
Progress: 2600 generated, 0 failed, tokens(p/c)=1346839/957624, est_cost=$3.8351
Progress: 2650 generated, 0 failed, tokens(p/c)=1377140/985388, est_cost=$3.9397
Progress: 2700 generated, 0 failed, tokens(p/c)=1404337/1008524, est_cost=$4.0284
Progress: 2750 generated, 0 failed, tokens(p/c)=1425785/1019591, est_cost=$4.0771
Progress: 2800 generated, 0 failed, tokens(p/c)=1455588/1042026, est_cost=$4.1657
Progress: 2850 generated, 0 failed, tokens(p/c)=1477238/1057174, est_cost=$4.2266
Progress: 2900 generated, 0 failed, tokens(p/c)=1498456/1070888, est_cost=$4.2830
Progress: 2950 generated, 0 failed, tokens(p/c)=1517666/1081055, est_cost=$4.3274
Progress: 3000 generated, 0 failed, tokens(p/c)=1537026/1088726, est_cost=$4.3645
Progress: 3050 generated, 0 failed, tokens(p/c)=1557813/1100885, est_cost=$4.4160
Progress: 3100 generated, 0 failed, tokens(p/c)=1576059/1109927, est_cost=$4.4563
Progress: 3150 generated, 0 failed, tokens(p/c)=1596032/1121248, est_cost=$4.5047
Progress: 3200 generated, 0 failed, tokens(p/c)=1617346/1133385, est_cost=$4.5565
Progress: 3250 generated, 0 failed, tokens(p/c)=1638649/1147940, est_cost=$4.6154
Progress: 3300 generated, 0 failed, tokens(p/c)=1658495/1156773, est_cost=$4.6564
Progress: 3350 generated, 0 failed, tokens(p/c)=1677712/1171937, est_cost=$4.7155
Progress: 3400 generated, 0 failed, tokens(p/c)=1697103/1182506, est_cost=$4.7612
Progress: 3450 generated, 0 failed, tokens(p/c)=1716914/1193093, est_cost=$4.8073
Progress: 3500 generated, 0 failed, tokens(p/c)=1737777/1204094, est_cost=$4.8554
Progress: 3550 generated, 0 failed, tokens(p/c)=1757963/1215683, est_cost=$4.9047
Progress: 3600 generated, 0 failed, tokens(p/c)=1778387/1228667, est_cost=$4.9584
Progress: 3650 generated, 0 failed, tokens(p/c)=1799201/1240645, est_cost=$5.0093
Progress: 3700 generated, 0 failed, tokens(p/c)=1819014/1253748, est_cost=$5.0628
Progress: 3750 generated, 0 failed, tokens(p/c)=1839659/1265005, est_cost=$5.1115
Progress: 3800 generated, 0 failed, tokens(p/c)=1859877/1276769, est_cost=$5.1614
Progress: 3850 generated, 0 failed, tokens(p/c)=1879887/1288862, est_cost=$5.2121
Progress: 3900 generated, 0 failed, tokens(p/c)=1900265/1303504, est_cost=$5.2705
Progress: 3950 generated, 0 failed, tokens(p/c)=1919260/1318277, est_cost=$5.3284
Progress: 4000 generated, 0 failed, tokens(p/c)=1940068/1333228, est_cost=$5.3881
Progress: 4050 generated, 0 failed, tokens(p/c)=1961627/1352130, est_cost=$5.4600
Progress: 4100 generated, 0 failed, tokens(p/c)=1983010/1366786, est_cost=$5.5193
Progress: 4150 generated, 0 failed, tokens(p/c)=2004391/1381503, est_cost=$5.5787
Progress: 4200 generated, 0 failed, tokens(p/c)=2026924/1399993, est_cost=$5.6502
Progress: 4250 generated, 0 failed, tokens(p/c)=2049363/1419935, est_cost=$5.7258
Progress: 4300 generated, 1 failed, tokens(p/c)=2069645/1433276, est_cost=$5.7804
Progress: 4350 generated, 1 failed, tokens(p/c)=2092920/1447890, est_cost=$5.8410
Progress: 4400 generated, 1 failed, tokens(p/c)=2114289/1465508, est_cost=$5.9090
Progress: 4450 generated, 1 failed, tokens(p/c)=2137274/1484696, est_cost=$5.9828
Progress: 4500 generated, 1 failed, tokens(p/c)=2159091/1501521, est_cost=$6.0488
Progress: 4550 generated, 1 failed, tokens(p/c)=2181067/1517589, est_cost=$6.1127
Progress: 4600 generated, 1 failed, tokens(p/c)=2200006/1531228, est_cost=$6.1671
