model,condition,level,pass@1,pass@2,pass@3
CodeLlama-7B-Instruct-Q5_K_M,distractor,All,0.22,0.44,0.44
CodeLlama-7B-Instruct-Q5_K_M,distractor,L1,0.00,0.67,0.67
CodeLlama-7B-Instruct-Q5_K_M,distractor,L2,0.67,0.67,0.67
CodeLlama-7B-Instruct-Q5_K_M,distractor,L3,0.00,0.00,0.00
CodeLlama-7B-Instruct-Q5_K_M,gold,All,58.22,63.78,65.78
CodeLlama-7B-Instruct-Q5_K_M,gold,L1,82.00,88.00,89.33
CodeLlama-7B-Instruct-Q5_K_M,gold,L2,62.67,70.67,74.67
CodeLlama-7B-Instruct-Q5_K_M,gold,L3,30.00,32.67,33.33
CodeLlama-7B-Instruct-Q5_K_M,naive,All,32.00,42.44,46.89
CodeLlama-7B-Instruct-Q5_K_M,naive,L1,52.00,63.33,70.67
CodeLlama-7B-Instruct-Q5_K_M,naive,L2,34.67,46.67,48.67
CodeLlama-7B-Instruct-Q5_K_M,naive,L3,9.33,17.33,21.33
CodeLlama-7B-Instruct-Q5_K_M,no,All,2.67,3.11,3.78
CodeLlama-7B-Instruct-Q5_K_M,no,L1,3.33,4.00,4.67
CodeLlama-7B-Instruct-Q5_K_M,no,L2,3.33,3.33,4.00
CodeLlama-7B-Instruct-Q5_K_M,no,L3,1.33,2.00,2.67
LongCat-2.0,distractor,All,6.00,7.78,8.67
LongCat-2.0,distractor,L1,12.67,16.00,18.00
LongCat-2.0,distractor,L2,4.67,5.33,6.00
LongCat-2.0,distractor,L3,0.67,2.00,2.00
LongCat-2.0,gold,All,28.44,43.11,52.44
LongCat-2.0,gold,L1,42.67,62.67,72.67
LongCat-2.0,gold,L2,29.33,44.67,56.00
LongCat-2.0,gold,L3,13.33,22.00,28.67
LongCat-2.0,naive,All,30.00,38.67,43.33
LongCat-2.0,naive,L1,47.33,58.00,63.33
LongCat-2.0,naive,L2,24.00,33.33,40.00
LongCat-2.0,naive,L3,18.67,24.67,26.67
LongCat-2.0,no,All,3.78,4.89,6.00
LongCat-2.0,no,L1,7.33,9.33,10.67
LongCat-2.0,no,L2,2.67,3.33,4.67
LongCat-2.0,no,L3,1.33,2.00,2.67
Qwen2.5-Coder-3B-Instruct,distractor,All,1.11,2.22,4.22
Qwen2.5-Coder-3B-Instruct,distractor,L1,3.33,3.33,5.33
Qwen2.5-Coder-3B-Instruct,distractor,L2,0.00,0.00,4.00
Qwen2.5-Coder-3B-Instruct,distractor,L3,0.00,3.33,3.33
Qwen2.5-Coder-3B-Instruct,gold,All,52.00,67.33,71.56
Qwen2.5-Coder-3B-Instruct,gold,L1,72.00,90.67,92.00
Qwen2.5-Coder-3B-Instruct,gold,L2,62.00,76.00,78.67
Qwen2.5-Coder-3B-Instruct,gold,L3,22.00,35.33,44.00
Qwen2.5-Coder-3B-Instruct,naive,All,30.00,37.56,42.67
Qwen2.5-Coder-3B-Instruct,naive,L1,46.00,52.00,61.33
Qwen2.5-Coder-3B-Instruct,naive,L2,30.00,37.33,43.33
Qwen2.5-Coder-3B-Instruct,naive,L3,14.00,23.33,23.33
Qwen2.5-Coder-3B-Instruct,no,All,1.33,3.33,3.56
Qwen2.5-Coder-3B-Instruct,no,L1,2.67,4.67,4.67
Qwen2.5-Coder-3B-Instruct,no,L2,0.00,4.00,4.00
Qwen2.5-Coder-3B-Instruct,no,L3,1.33,1.33,2.00
Qwen2.5-Coder-7B-Instruct,distractor,All,2.89,4.44,4.44
Qwen2.5-Coder-7B-Instruct,distractor,L1,5.33,10.00,10.00
Qwen2.5-Coder-7B-Instruct,distractor,L2,3.33,3.33,3.33
Qwen2.5-Coder-7B-Instruct,distractor,L3,0.00,0.00,0.00
Qwen2.5-Coder-7B-Instruct,gold,All,64.22,74.00,78.00
Qwen2.5-Coder-7B-Instruct,gold,L1,77.33,91.33,92.00
Qwen2.5-Coder-7B-Instruct,gold,L2,71.33,82.00,85.33
Qwen2.5-Coder-7B-Instruct,gold,L3,44.00,48.67,56.67
Qwen2.5-Coder-7B-Instruct,naive,All,42.44,54.44,56.89
Qwen2.5-Coder-7B-Instruct,naive,L1,64.00,78.67,80.00
Qwen2.5-Coder-7B-Instruct,naive,L2,40.67,53.33,54.67
Qwen2.5-Coder-7B-Instruct,naive,L3,22.67,31.33,36.00
Qwen2.5-Coder-7B-Instruct,no,All,2.44,3.11,5.56
Qwen2.5-Coder-7B-Instruct,no,L1,3.33,5.33,9.33
Qwen2.5-Coder-7B-Instruct,no,L2,3.33,3.33,4.00
Qwen2.5-Coder-7B-Instruct,no,L3,0.67,0.67,3.33
deepseek-v4-flash,distractor,All,4.44,5.78,6.67
deepseek-v4-flash,distractor,L1,10.00,12.67,13.33
deepseek-v4-flash,distractor,L2,2.00,2.67,4.67
deepseek-v4-flash,distractor,L3,1.33,2.00,2.00
deepseek-v4-flash,gold,All,83.11,91.56,95.11
deepseek-v4-flash,gold,L1,90.00,96.67,98.67
deepseek-v4-flash,gold,L2,86.67,96.00,97.33
deepseek-v4-flash,gold,L3,72.67,82.00,89.33
deepseek-v4-flash,naive,All,56.00,62.67,65.33
deepseek-v4-flash,naive,L1,73.33,80.67,82.67
deepseek-v4-flash,naive,L2,56.00,65.33,67.33
deepseek-v4-flash,naive,L3,38.67,42.00,46.00
deepseek-v4-flash,no,All,3.33,3.78,4.22
deepseek-v4-flash,no,L1,4.67,6.00,7.33
deepseek-v4-flash,no,L2,4.00,4.00,4.00
deepseek-v4-flash,no,L3,1.33,1.33,1.33
