model,level,no,naive,gold,distractor
CodeLlama-7B,L1,4.7,42.0,84.7,0.7
CodeLlama-7B,L2,3.3,40.0,66.0,0.0
CodeLlama-7B,L3,0.7,6.7,20.7,0.7
DeepSeek-V4-Flash,L1,8.0,78.7,89.3,13.3
DeepSeek-V4-Flash,L2,3.3,57.3,90.0,3.3
DeepSeek-V4-Flash,L3,0.7,41.3,72.7,1.3
LongCat-2.0,L1,5.3,43.3,36.7,9.3
LongCat-2.0,L2,0.7,22.7,24.7,1.3
LongCat-2.0,L3,1.3,12.0,5.3,0.0
Qwen2.5-Coder-3B,L1,2.7,61.3,92.7,3.3
Qwen2.5-Coder-3B,L2,4.0,41.3,81.3,0.0
Qwen2.5-Coder-3B,L3,0.0,18.0,39.3,0.0
Qwen2.5-Coder-7B,L1,8.0,68.0,76.7,8.0
Qwen2.5-Coder-7B,L2,3.3,48.7,67.3,0.0
Qwen2.5-Coder-7B,L3,0.7,27.3,35.3,0.0
